TITLE,ARTIST,YEAR COMPLETED,GENRE,LINK TO WIKIPEDIA ENTRY
Flight,Brian Kershisnik,1999,Contemporary Figurative,https://en.wikipedia.org/wiki/Brian_Kershisnik
Jesus and the Fishermen,Brian Kershisnik,2005,Contemporary Figurative,https://en.wikipedia.org/wiki/Brian_Kershisnik
Christus Consolator,Bertel Thorvaldsen,1838,Neoclassical Sculpture,https://en.wikipedia.org/wiki/Christus_(statue
Tragedy of Winter Quarters,Avard Fairbanks,1936,Bronze Sculpture,https://en.wikipedia.org/wiki/Avard_Fairbanks
Joseph Smith (in the U.S. Capitol),Mahonri Young,1950,Bronze Sculpture,https://en.wikipedia.org/wiki/Mahonri_Young
Moroni (on Salt Lake Temple),Cyrus E. Dallin,1893,Gilt Bronze Sculpture,https://en.wikipedia.org/wiki/Cyrus_E._Dallin
He is Risen,Walter Rane,2002,Religious Realism / History Painting,https://en.wikipedia.org/wiki/Walter_Rane
In His Constant Care,Greg Olsen,1993,Religious Realism / Devotional Art,https://en.wikipedia.org/wiki/Greg_Olsen_(artist
O Jerusalem,Greg Olsen,1995,Religious Realism / Devotional Art,https://en.wikipedia.org/wiki/Greg_Olsen_(artist
World Room Murals (in the Manti Temple),Minerva Teichert,1947,Mural / American Regionalism,https://en.wikipedia.org/wiki/Minerva_Teichert
Christ in a Red Robe,Minerva Teichert,1949,History Painting,https://en.wikipedia.org/wiki/Minerva_Teichert
The Title of Liberty (from Book of Mormon series),Arnold Friberg,1951,Heroic Realism / Illustration,https://en.wikipedia.org/wiki/Arnold_Friberg
The Prayer at Valley Forge,Arnold Friberg,1975,History Painting,https://en.wikipedia.org/wiki/The_Prayer_at_Valley_Forge
The Red-Roofed Chapel,LeConte Stewart,1961,Landscape / Mormon Impressionism,https://en.wikipedia.org/wiki/LeConte_Stewart
The First Vision,Tom Lovell,1968,Illustration / Realism,https://en.wikipedia.org/wiki/Tom_Lovell
Mormon Panorama (series of 23 paintings),C.C.A. Christensen,1878,History Painting / Panorama,https://en.wikipedia.org/wiki/Carl_Christian_Anton_Christensen
The First Vision,"John Hafen, Lorus Pratt, & Edwin Evans",1906,History Painting,https://en.wikipedia.org/wiki/John_Hafen
Handcart Pioneers,Torleif S. Knaphus,1926,Bronze Sculpture,https://en.wikipedia.org/wiki/Torleif_S._Knaphus
Joseph Smith (Portrait),Sutcliffe Maudsley,1842,Portraiture,https://en.wikipedia.org/wiki/Religious_art_of_the_Church_of_Jesus_Christ_of_Latter-day_Saints