TITLE,ARCHITECT,YEAR COMPLETED,HOW MUCH DID IT COST TO BUILD,LINK TO WIKIPEDIA ENTRY
Nauvoo Illinois Temple (Rebuilt),FFKR Architects,2002,"Estimated $30,000,000+",https://en.wikipedia.org/wiki/Nauvoo_Temple
Draper Utah Temple,FFKR Architects,2009,Not publicly disclosed,https://en.wikipedia.org/wiki/Draper_Utah_Temple
Provo City Center Temple,FFKR Architects,2016,Not publicly disclosed,https://en.wikipedia.org/wiki/Provo_City_Center_Temple
Paris France Temple,"Patriarche & Co, Jean-Michel Reymondon",2017,Not publicly disclosed,https://en.wikipedia.org/wiki/Paris_France_Temple
Rome Italy Temple,Neils Valentiner & Associates,2019,Not publicly disclosed,https://en.wikipedia.org/wiki/Rome_Italy_Temple
Joseph Smith Memorial Building,Parkinson and Bergstrom,1911,"Approx. $2,000,000 (1910s USD)",https://en.wikipedia.org/wiki/Joseph_Smith_Memorial_Building
Church Office Building,George Cannon Young,1972,"$31,500,000 (1970s USD)",https://en.wikipedia.org/wiki/Church_Office_Building
Conference Center,Zimmer Gunsul Frasca Partnership (ZGF),2000,Estimated $250-300 million,https://en.wikipedia.org/wiki/Conference_Center
Church History Library,"FFKR Architects, HOK",2009,Not publicly disclosed,https://en.wikipedia.org/wiki/Church_History_Library
Laie Hawaii Temple,Hyrum Pope & Harold Burton,1919,"Approx. $215,000 (1910s USD)",https://en.wikipedia.org/wiki/Laie_Hawaii_Temple
Cardston Alberta Temple,Hyrum Pope & Harold Burton,1923,"Approx. $800,000 (1920s USD)",https://en.wikipedia.org/wiki/Cardston_Alberta_Temple
Los Angeles California Temple,Edward O. Anderson,1956,"$6,000,000 (1950s USD)",https://en.wikipedia.org/wiki/Los_Angeles_California_Temple
Oakland California Temple,Harold W. Burton,1964,Not publicly disclosed,https://en.wikipedia.org/wiki/Oakland_California_Temple
Washington D.C. Temple,"Emil B. Fetzer, et al.",1974,"Approx. $15,000,000 (1970s USD)",https://en.wikipedia.org/wiki/Washington_D.C._Temple
Jordan River Utah Temple,Emil B. Fetzer,1981,Paid for by member donations,https://en.wikipedia.org/wiki/Jordan_River_Utah_Temple
Kirtland Temple,"Joseph Smith (as revelator), committee",1836,"Approx. $40,000 (1830s USD)",https://en.wikipedia.org/wiki/Kirtland_Temple
Nauvoo Temple (Original),William Weeks,1846,"Approx. $1,000,000 (1840s USD)",https://en.wikipedia.org/wiki/Nauvoo_Temple
Salt Lake Tabernacle,"Henry Grow, Truman O. Angell",1867,"Approx. $300,000 (1860s USD)",https://en.wikipedia.org/wiki/Salt_Lake_Tabernacle
St. George Utah Temple,"Truman O. Angell, Miles Romney",1877,"Approx. $800,000 (1870s USD)",https://en.wikipedia.org/wiki/St._George_Utah_Temple
Logan Utah Temple,"Truman O. Angell, Jr.",1884,"Approx. $700,000 (1880s USD)",https://en.wikipedia.org/wiki/Logan_Utah_Temple
Salt Lake Temple,Truman O. Angell,1893,"Approx. $4,000,000 (1890s USD)",https://en.wikipedia.org/wiki/Salt_Lake_Temple