TITLE,AUTHOR,YEAR RELEASED,HOW MANY PAGES,LINK TO WIKIPEDIA ENTRY
Tennis Shoes Among the Nephites,Chris Heimerdinger,1989,230,https://en.wikipedia.org/wiki/Tennis_Shoes_Among_the_Nephites
Escape from Zarahemla,Chris Heimerdinger,2007,352,https://en.wikipedia.org/wiki/Chris_Heimerdinger
Lemon Tart (A Culinary Mystery),Josi S. Kilpack,2009,291,https://en.wikipedia.org/wiki/Josi_S._Kilpack
The Alliance,Gerald N. Lund,2013,496,https://en.wikipedia.org/wiki/Gerald_N._Lund
Twilight,Stephenie Meyer,2005,498,https://en.wikipedia.org/wiki/Twilight_(novel
Princess Academy,Shannon Hale,2005,314,https://en.wikipedia.org/wiki/Princess_Academy
Austenland,Shannon Hale,2007,208,https://en.wikipedia.org/wiki/Austenland_(novel
The Wednesday Letters,Jason F. Wright,2007,304,https://en.wikipedia.org/wiki/Jason_F._Wright
Charly,Jack Weyland,1980,160,https://en.wikipedia.org/wiki/Charly_(novel
Ender's Game,Orson Scott Card,1985,324,https://en.wikipedia.org/wiki/Ender%27s_Game
The Memory of Earth (Homecoming Saga),Orson Scott Card,1992,355,https://en.wikipedia.org/wiki/Homecoming_Saga
Elantris,Brandon Sanderson,2005,622,https://en.wikipedia.org/wiki/Elantris
Mistborn: The Final Empire,Brandon Sanderson,2006,541,https://en.wikipedia.org/wiki/Mistborn:_The_Final_Empire
Fablehaven,Brandon Mull,2006,359,https://en.wikipedia.org/wiki/Fablehaven
Added Upon,Nephi Anderson,1898,252,https://en.wikipedia.org/wiki/Added_Upon
The Giant Joshua,Maurine Whipple,1941,637,https://en.wikipedia.org/wiki/The_Giant_Joshua
The Work and the Glory: Pillar of Light,Gerald N. Lund,1990,628,https://en.wikipedia.org/wiki/The_Work_and_the_Glory
Children of the Promise: The Locket,Dean Hughes,1997,512,https://en.wikipedia.org/wiki/Dean_Hughes
The Fire of the Covenant,Gerald N. Lund,2023,544,https://en.wikipedia.org/wiki/Gerald_N._Lund