TITLE,NETWORK,INITIAL YEAR AIRED,GENRE,LINK TO WIKIPEDIA ENTRY
"The Chosen (Note: Not LDS-produced, but distributed by Angel Studios and aired on BYUtv)","Angel Studios, BYUtv",2019,Historical Drama,https://en.wikipedia.org/wiki/The_Chosen_(TV_series
Book of Mormon Videos,The Church of Jesus Christ,2019,Religious Drama / Web Series,https://en.wikipedia.org/wiki/Book_of_Mormon_Videos
Relative Race,BYUtv,2016,Reality Competition,https://en.wikipedia.org/wiki/Relative_Race
Random Acts,BYUtv,2015,Hidden Camera / Reality,https://en.wikipedia.org/wiki/Random_Acts_(TV_series
The Fixers,BYUtv,2016,Reality / Docuseries,https://en.wikipedia.org/wiki/The_Fixers_(2016_TV_series
Making Good,BYUtv,2019,Docuseries,https://en.wikipedia.org/wiki/Making_Good
All-Round Champion,"BYUtv, TVO",2020,Reality Competition,https://en.wikipedia.org/wiki/All-Round_Champion
Studio C,BYUtv,2012,Sketch Comedy,https://en.wikipedia.org/wiki/Studio_C
Granite Flats,BYUtv,2013,Drama / Mystery,https://en.wikipedia.org/wiki/Granite_Flats
Extinct,BYUtv,2017,Science Fiction / Drama,https://en.wikipedia.org/wiki/Extinct_(TV_series
Dwight in Shining Armor,BYUtv,2018,Fantasy / Comedy,https://en.wikipedia.org/wiki/Dwight_in_Shining_Armor
Show Offs,BYUtv,2019,Improv Comedy / Musical,https://en.wikipedia.org/wiki/Show_Offs
The Canterville Ghost,BYUtv,2021,Fantasy / Drama,https://en.wikipedia.org/wiki/The_Canterville_Ghost_(2021_TV_series
Music & the Spoken Word,"CBS Radio/TV, Syndication",1949,Music / Religious Broadcast,https://en.wikipedia.org/wiki/Music_and_the_Spoken_Word
General Conference,"The Church of Jesus Christ, BYUtv",1949,Religious Conference,https://en.wikipedia.org/wiki/General_Conference_(The_Church_of_Jesus_Christ_of_Latter-day_Saints
BYU Devotional,BYUtv,1960,Religious Address / Talk,https://speeches.byu.edu/